Service;Th�matique;Producteur;Nom;Nom technique;URL d'acces Geoportail;URL d'acces Geoplateforme;Statut de licence;Etat de publication;Statut  G�oplateforme;Date actualisation de la donn�e;Remarque
TMS;administratif;IGN;ADMIN EXPRESS;ADMIN_EXPRESS;https://wxs.ign.fr/administratif/geoportail/tms/1.0.0/ADMIN_EXPRESS/metadata.json/;https://data.geopf.fr/tms/1.0.0;;Publie;A actualiser;26/01/2024;
WFS;administratif;IGN;ADMIN EXPRESS COG 2017 - arrondissement_departemental;ADMINEXPRESS-COG.2017:arrondissement_departemental;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2017 - chef_lieu;ADMINEXPRESS-COG.2017:chef_lieu;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2017 - commune;ADMINEXPRESS-COG.2017:commune;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2017 - departement;ADMINEXPRESS-COG.2017:departement;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2017 - region;ADMINEXPRESS-COG.2017:region;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2018 - arrondissement_departemental;ADMINEXPRESS-COG.2018:arrondissement_departemental;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2018 - chef_lieu;ADMINEXPRESS-COG.2018:chef_lieu;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2018 - commune;ADMINEXPRESS-COG.2018:commune;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2018 - departement;ADMINEXPRESS-COG.2018:departement;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2018 - epci;ADMINEXPRESS-COG.2018:epci;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
